"phen" "total" "sign_disc" "sign_repl" "sign_disc_top" "sign_repl_top" "weak_instr"
"ukb-b-4930" 0 0 0 0 0 0
"ukb-b-13106" 0 0 0 0 0 0
"ukb-b-20175" 244 370 401 65 74 -9
"ukb-b-19955" 0 0 0 0 0 0
"ukb-b-12019" 136 219 151 31 31 0
"ukb-b-8210" 3 3 3 1 2 -1
"ukb-b-12974" 0 0 0 0 0 0
"ukb-b-1331" 0 0 0 0 0 0
"ukb-b-2055" 0 0 0 0 0 0
"ukb-b-960" 0 0 0 0 0 0
"ukb-b-17462" 2 0 0 0 0 0
"ukb-b-14189" 0 0 0 0 0 0
"ukb-b-11598" 7 7 5 4 2 2
"ukb-b-7460" 14 34 31 3 3 0
"ukb-b-2368" 0 0 0 0 0 0
"ukb-b-9369" 0 0 0 0 0 0
"ukb-b-8566" 0 0 1 0 0 0
"ukb-b-17823" 0 0 0 0 0 0
"ukb-b-6448" 1 0 1 0 0 0
"ukb-b-11020" 7 17 13 3 1 2
"ukb-b-16715" 0 0 0 0 0 0
"ukb-b-10505" 6 6 17 1 1 0
"ukb-b-13806" 2 12 11 1 1 0
"ukb-b-13160" 2 0 0 0 0 0
"ukb-b-13773" 0 0 0 0 0 0
"ukb-b-4280" 0 0 0 0 0 0
"ukb-b-9886" 2 0 0 0 0 0
"ukb-b-12841" 4 1 1 1 1 0
"ukb-b-1732" 1 0 0 0 0 0
"ukb-b-20549" 0 0 0 0 0 0
"ukb-b-15041" 0 0 0 0 0 0
"ukb-b-1935" 0 0 0 0 0 0
"ukb-b-17579" 0 0 0 0 0 0
"ukb-b-20432" 5 1 0 1 0 1
"ukb-b-11943" 0 0 0 0 0 0
"ukb-b-11680" 0 0 0 0 0 0
"ukb-b-2468" 2 0 0 0 0 0
"ukb-b-5504" 0 0 0 0 0 0
"ukb-b-3666" 4 0 0 0 0 0
"ukb-b-13190" 0 0 0 0 0 0
"ukb-b-20122" 0 0 0 0 0 0
"ukb-b-17805" 41 69 103 15 22 -7
"ukb-b-3693" 0 0 0 0 0 0
"ukb-b-5427" 0 0 0 0 0 0
"ukb-b-1763" 0 0 1 0 0 0
"ukb-b-14540" 565 2324 2357 260 262 -2
"ukb-b-17554" 0 0 0 0 0 0
"ukb-b-16878" 35 9 2 3 2 1
"ukb-b-2020" 0 0 0 0 0 0
"ukb-b-4007" 2 0 0 0 0 0
"ukb-b-8602" 10 12 17 1 2 -1
"ukb-b-7425" 0 0 0 0 0 0
"ukb-b-2400" 0 0 0 0 0 0
"ukb-b-8707" 0 0 0 0 0 0
"ukb-b-12944" 1 0 5 0 1 -1
"ukb-b-4024" 1 0 0 0 0 0
"ukb-b-15083" 0 0 0 0 0 0
"ukb-b-2603" 1 0 0 0 0 0
"ukb-b-9099" 12 16 12 2 2 0
"ukb-b-6811" 4 19 3 2 0 2
"ukb-b-2194" 0 0 0 0 0 0
"ukb-b-20289" 13 183 189 7 6 1
"ukb-b-6517" 0 0 0 0 0 0
"ukb-b-15297" 0 0 0 0 0 0
"ukb-b-12945" 0 0 0 0 0 0
"ukb-b-13545" 0 0 0 0 0 0
"ukb-b-9319" 0 0 0 0 0 0
"ukb-b-16407" 389 858 928 112 110 2
"ukb-b-18683" 6 0 18 0 2 -2
"ukb-b-3402" 0 0 0 0 0 0
"ukb-b-5053" 0 0 0 0 0 0
"ukb-b-10263" 3 0 0 0 0 0
"ukb-b-18509" 0 0 0 0 0 0
"ukb-b-2703" 1 0 0 0 0 0
"ukb-b-9253" 1 1 0 0 0 0
"ukb-b-18379" 1 0 0 0 0 0
"ukb-b-4579" 0 0 0 0 0 0
"ukb-b-12026" 1 0 0 0 0 0
"ukb-b-6458" 41 54 58 15 19 -4
"ukb-b-12047" 4 9 32 0 2 -2
"ukb-b-10167" 0 0 0 0 0 0
"ukb-b-7236" 1 32 0 1 0 1
"ukb-b-6092" 0 0 0 0 0 0
"ukb-b-3412" 0 0 0 0 0 0
"ukb-b-469" 3 23 25 2 2 0
"ukb-b-12901" 2 0 0 0 0 0
"ukb-b-12602" 0 0 0 0 0 0
"ukb-b-14615" 0 0 0 0 0 0
"ukb-b-19456" 13 8 15 3 3 0
"ukb-b-8797" 0 0 0 0 0 0
"ukb-b-18062" 6 3 8 2 1 1
"ukb-b-15591" 0 0 0 0 0 0
"ukb-b-1318" 1 0 6 0 1 -1
"ukb-b-10412" 4 1 1 1 1 0
"ukb-b-14452" 0 0 0 0 0 0
"ukb-b-217" 0 0 0 0 0 0
"ukb-b-10162" 0 0 0 0 0 0
"ukb-b-5495" 22 0 5 0 2 -2
"ukb-b-13743" 1 0 0 0 0 0
"ukb-b-16573" 0 0 0 0 0 0
"ukb-b-18023" 0 0 0 0 0 0
"ukb-b-12703" 0 0 0 0 0 0
"ukb-b-8369" 1 0 0 0 0 0
"ukb-b-11582" 1 1 0 1 0 1
"ukb-b-3132" 0 0 0 0 0 0
"ukb-b-6539" 0 0 0 0 0 0
"ukb-b-13891" 3 0 0 0 0 0
"ukb-b-17992" 0 0 0 0 0 0
"ukb-b-9565" 0 0 0 0 0 0
"ukb-b-3698" 0 0 0 0 0 0
"ukb-b-4104" 0 0 0 0 0 0
"ukb-b-9720" 1 0 0 0 0 0
"ukb-b-13775" 0 0 0 0 0 0
"ukb-b-7356" 0 0 0 0 0 0
"ukb-b-8988" 5 11 13 2 3 -1
"ukb-b-19304" 0 0 0 0 0 0
"ukb-b-4725" 1 0 0 0 0 0
"ukb-b-6026" 3 1 0 0 0 0
"ukb-b-15531" 0 0 0 0 0 0
"ukb-b-15230" 0 0 0 0 0 0
"ukb-b-11670" 0 0 0 0 0 0
"ukb-b-18157" 0 0 0 0 0 0
"ukb-b-16523" 0 0 0 0 0 0
"ukb-b-3027" 0 0 0 0 0 0
"ukb-b-12651" 20 69 90 14 11 3
"ukb-b-15136" 0 0 0 0 0 0
"ukb-b-15984" 0 0 0 0 0 0
"ukb-b-15787" 3 0 0 0 0 0
"ukb-b-14449" 0 0 0 0 0 0
"ukb-b-15768" 0 0 0 0 0 0
"ukb-b-10932" 0 0 0 0 0 0
"ukb-b-3650" 0 0 0 0 0 0
"ukb-b-18616" 0 0 0 0 0 0
"ukb-b-10188" 1 1 0 1 0 1
"ukb-b-17532" 1 0 0 0 0 0
"ukb-b-1744" 3 2 0 0 0 0
"ukb-b-1539" 1 0 0 0 0 0
"ukb-b-16100" 0 0 0 0 0 0
"ukb-b-16039" 1 0 0 0 0 0
"ukb-b-14674" 0 0 0 0 0 0
"ukb-b-17918" 79 246 305 26 35 -9
"ukb-b-17965" 0 0 0 0 0 0
"ukb-b-12339" 0 1 1 0 0 0
"ukb-b-12440" 95 120 99 34 30 4
"ukb-b-5633" 1 0 0 0 0 0
"ukb-b-14" 1 0 0 0 0 0
"ukb-b-17336" 0 0 0 0 0 0
"ukb-b-8877" 0 0 0 0 0 0
"ukb-b-12439" 0 0 0 0 0 0
"ukb-b-9874" 0 0 0 0 0 0
"ukb-b-11666" 0 0 0 0 0 0
"ukb-b-14746" 2 1 0 1 0 1
"ukb-b-151" 11 9 0 2 0 2
"ukb-b-11771" 0 0 0 0 0 0
"ukb-b-4790" 0 0 0 0 0 0
"ukb-b-39" 0 0 0 0 0 0
"ukb-b-10768" 0 0 0 0 0 0
"ukb-b-13978" 3 0 0 0 0 0
"ukb-b-12141" 16 6 10 2 4 -2
"ukb-b-4824" 0 0 0 0 0 0
"ukb-b-227" 0 0 0 0 0 0
"ukb-b-3859" 0 0 0 0 0 0
"ukb-b-18895" 0 0 0 0 0 0
"ukb-b-2105" 0 0 0 0 0 0
"ukb-b-12621" 0 0 0 0 0 0
"ukb-b-15094" 0 0 0 0 0 0
"ukb-b-5421" 3 0 0 0 0 0
"ukb-b-6721" 0 0 0 0 0 0
"ukb-b-17841" 19 25 14 3 5 -2
"ukb-b-14632" 0 0 0 0 0 0
"ukb-b-16751" 1 0 0 0 0 0
"ukb-b-4738" 0 0 0 0 0 0
"ukb-b-17441" 0 0 0 0 0 0
"ukb-b-15851" 327 14125 14142 255 244 11
"ukb-b-13079" 1 0 0 0 0 0
"ukb-b-2115" 0 0 0 0 0 0
"ukb-b-17733" 1 0 0 0 0 0
"ukb-b-295" 0 0 0 0 0 0
"ukb-b-5476" 10 0 1 0 0 0
"ukb-b-447" 0 0 0 0 0 0
"ukb-b-3196" 2 0 0 0 0 0
"ukb-b-9127" 4 14 15 2 2 0
"ukb-b-19791" 0 0 0 0 0 0
"ukb-b-19482" 0 0 0 0 0 0
"ukb-b-6445" 3 0 0 0 0 0
"ukb-b-2846" 1 0 3 0 1 -1
"ukb-b-14086" 0 0 0 0 0 0
"ukb-b-15769" 0 0 0 0 0 0
"ukb-b-14960" 1 0 0 0 0 0
"ukb-b-4062" 1 0 0 0 0 0
"ukb-b-1993" 0 0 0 0 0 0
"ukb-b-17241" 151 326 302 57 58 -1
"ukb-b-6185" 1 0 0 0 0 0
"ukb-b-11895" 11 9 4 2 1 1
"ukb-b-7844" 0 0 0 0 0 0
"ukb-b-12095" 9 6 10 1 2 -1
"ukb-b-4772" 12 22 22 6 6 0
"ukb-b-19086" 0 0 0 0 0 0
"ukb-b-9125" 8 99 115 5 4 1
"ukb-b-19350" 0 0 0 0 0 0
"ukb-b-9524" 1 0 1 0 1 -1
"ukb-b-19524" 0 0 0 0 0 0
"ukb-b-282" 3 0 0 0 0 0
"ukb-b-2209" 63 86 98 12 14 -2
"ukb-b-8080" 1 6 6 1 1 0
"ukb-b-15122" 0 0 0 0 0 0
"ukb-b-69" 0 0 0 0 0 0
"ukb-b-5251" 0 0 0 0 0 0
"ukb-b-5447" 188 496 453 82 78 4
"ukb-b-17533" 0 0 0 0 0 0
"ukb-b-16677" 4 0 11 0 2 -2
"ukb-b-14310" 510 2003 2072 218 226 -8
"ukb-b-18408" 29 75 81 7 10 -3
"ukb-b-2854" 0 0 0 0 0 0
"ukb-b-1252" 2 0 1 0 1 -1
"ukb-b-3499" 0 0 0 0 0 0
"ukb-b-15761" 0 0 0 0 0 0
"ukb-b-1658" 0 0 0 0 0 0
"ukb-b-5968" 0 0 0 0 0 0
"ukb-b-14690" 0 0 0 0 0 0
"ukb-b-6351" 1 18 0 0 0 0
"ukb-b-19579" 10 21 12 4 4 0
"ukb-b-14067" 3 0 0 0 0 0
"ukb-b-2862" 17 2 19 1 4 -3
"ukb-b-5359" 1 1 1 1 1 0
"ukb-b-1962" 6 6 4 1 1 0
"ukb-b-13556" 1 0 0 0 0 0
"ukb-b-10281" 1 1 0 1 0 1
"ukb-b-1092" 0 0 0 0 0 0
"ukb-b-13464" 0 0 0 0 0 0
"ukb-b-16207" 1 0 0 0 0 0
"ukb-b-5590" 0 0 0 0 0 0
"ukb-b-12332" 2 0 0 0 0 0
"ukb-b-12474" 0 0 0 0 0 0
"ukb-b-17848" 55 110 123 20 24 -4
"ukb-b-16454" 0 0 0 0 0 0
"ukb-b-16309" 0 0 0 0 0 0
"ukb-b-4526" 1 0 1 0 1 -1
"ukb-b-2414" 0 0 0 0 0 0
"ukb-b-11874" 3 44 55 2 2 0
"ukb-b-5238" 79 158 66 15 12 3
"ukb-b-13770" 0 0 0 0 0 0
"ukb-b-19354" 0 0 0 0 0 0
"ukb-b-7932" 2 0 1 0 1 -1
"ukb-b-1806" 5 3 0 0 0 0
"ukb-b-7759" 0 0 0 0 0 0
"ukb-b-11572" 1 4 1 1 0 1
"ukb-b-6429" 0 0 0 0 0 0
"ukb-b-12058" 0 0 0 0 0 0
"ukb-b-15287" 0 0 0 0 0 0
"ukb-b-4417" 0 0 0 0 0 0
"ukb-b-15245" 0 0 0 0 0 0
"ukb-b-9598" 0 0 0 0 0 0
"ukb-b-6528" 1 0 0 0 0 0
"ukb-b-7831" 0 0 0 0 0 0
"ukb-b-13217" 0 0 0 0 0 0
"ukb-b-18163" 1 0 1 0 1 -1
"ukb-b-13380" 0 0 0 0 0 0
"ukb-b-8468" 23 65 57 7 6 1
"ukb-b-13121" 0 0 0 0 0 0
"ukb-b-6992" 0 0 0 0 0 0
"ukb-b-2630" 1 0 0 0 0 0
"ukb-b-16868" 16 27 28 7 8 -1
"ukb-b-4961" 2 0 0 0 0 0
"ukb-b-175" 1 0 0 0 0 0
"ukb-b-15835" 0 0 0 0 0 0
"ukb-b-15766" 0 0 0 0 0 0
"ukb-b-19078" 1 14 13 0 0 0
"ukb-b-13764" 30 65 74 3 7 -4
"ukb-b-15357" 0 0 0 0 0 0
"ukb-b-1503" 1 0 0 0 0 0
"ukb-b-9040" 0 0 0 0 0 0
"ukb-b-12276" 0 0 0 0 0 0
"ukb-b-338" 0 0 0 0 0 0
"ukb-b-13348" 18 11 23 3 8 -5
"ukb-b-10056" 0 0 0 0 0 0
"ukb-b-2561" 0 0 0 0 0 0
"ukb-b-19207" 0 0 0 0 0 0
"ukb-b-8929" 15 37 11 5 2 3
"ukb-b-9581" 0 0 0 0 0 0
"ukb-b-20477" 2 0 0 0 0 0
"ukb-b-10937" 1 0 0 0 0 0
"ukb-b-15826" 0 0 0 0 0 0
"ukb-b-11618" 0 0 0 0 0 0
"ukb-b-8631" 13 12414 12575 9 11 -2
"ukb-b-18009" 96 180 188 32 31 1
"ukb-b-779" 0 0 0 0 0 0
"ukb-b-18445" 0 0 0 0 0 0
"ukb-b-11615" 88 123 127 12 11 1
"ukb-b-19071" 44 47 53 12 15 -3
"ukb-b-9321" 2 0 1 0 1 -1
"ukb-b-7469" 7 6 15 2 2 0
"ukb-b-14211" 0 0 0 0 0 0
"ukb-b-9696" 0 0 0 0 0 0
"ukb-b-589" 22 13 15 3 3 0
"ukb-b-14037" 1 0 0 0 0 0
"ukb-b-11274" 0 0 0 0 0 0
"ukb-b-8301" 1 0 0 0 0 0
"ukb-b-15197" 0 0 0 0 0 0
"ukb-b-6266" 3 2 2 1 1 0
"ukb-b-2625" 0 0 0 0 0 0
"ukb-b-5627" 0 0 0 0 0 0
"ukb-b-13912" 1 0 0 0 0 0
"ukb-b-2189" 1 0 0 0 0 0
"ukb-b-14147" 29 38 38 3 4 -1
"ukb-b-5382" 1 0 0 0 0 0
"ukb-b-9312" 0 0 0 0 0 0
"ukb-b-1762" 0 0 0 0 0 0
"ukb-b-12566" 0 0 0 0 0 0
"ukb-b-8777" 1 0 1 0 0 0
"ukb-b-6392" 0 0 0 0 0 0
"ukb-b-10485" 0 0 0 0 0 0
"ukb-b-12604" 0 0 0 0 0 0
"ukb-b-11113" 212 311 319 74 77 -3
"ukb-b-15178" 145 236 276 61 63 -2
"ukb-b-16126" 0 0 0 0 0 0
"ukb-b-8703" 0 0 0 0 0 0
"ukb-b-11002" 0 0 0 0 0 0
"ukb-b-4909" 0 0 0 0 0 0
"ukb-b-12366" 0 0 0 0 0 0
"ukb-b-18718" 2 1 0 1 0 1
"ukb-b-6727" 40 11 9 2 3 -1
"ukb-b-15654" 4 0 0 0 0 0
"ukb-b-8720" 1 0 2 0 1 -1
"ukb-b-13583" 14 2 8 2 3 -1
"ukb-b-7760" 0 0 0 0 0 0
"ukb-b-11639" 1 2 0 1 0 1
"ukb-b-9942" 8 1 4 1 2 -1
"ukb-b-14360" 3 3 0 1 0 1
"ukb-b-10554" 0 0 0 0 0 0
"ukb-b-13401" 0 0 0 0 0 0
"ukb-b-7135" 6 9 5 2 2 0
"ukb-b-7872" 3 0 0 0 0 0
"ukb-b-16890" 19 36 34 8 8 0
"ukb-b-3229" 0 0 0 0 0 0
"ukb-b-8491" 0 0 0 0 0 0
"ukb-b-11535" 5 0 0 0 0 0
"ukb-b-19447" 0 0 0 0 0 0
"ukb-b-12493" 71 85 114 20 17 3
"ukb-b-12465" 8 50 54 4 3 1
"ukb-b-16118" 0 0 0 0 0 0
"ukb-b-16946" 0 0 0 0 0 0
"ukb-b-17289" 13 12 2 2 1 1
"ukb-b-17587" 0 0 0 0 0 0
"ukb-b-4942" 0 0 1 0 0 0
"ukb-b-17612" 40 74 59 13 15 -2
"ukb-b-13247" 0 0 0 0 0 0
"ukb-b-12466" 0 0 0 0 0 0
"ukb-b-1712" 2 12 0 1 0 1
"ukb-b-11268" 41 87 82 17 16 1
"ukb-b-18956" 1 0 0 0 0 0
"ukb-b-18596" 6 2 1 1 0 1
"ukb-b-14446" 0 0 0 0 0 0
"ukb-b-4001" 0 0 0 0 0 0
"ukb-b-2533" 0 0 0 0 0 0
"ukb-b-12879" 0 0 0 0 0 0
"ukb-b-13184" 18 1 5 1 2 -1
"ukb-b-7244" 0 0 0 0 0 0
"ukb-b-16193" 0 0 0 0 0 0
"ukb-b-20421" 0 0 0 0 0 0
"ukb-b-6989" 1 0 0 0 0 0
"ukb-b-7422" 51 104 108 13 12 1
"ukb-b-9340" 0 0 0 0 0 0
"ukb-b-12646" 8 0 0 0 0 0
"ukb-b-12549" 0 0 0 0 0 0
"ukb-b-14796" 3 5 5 1 1 0
"ukb-b-12765" 3 8 5 2 1 1
"ukb-b-20382" 0 0 1 0 0 0
"ukb-b-10387" 0 0 0 0 0 0
"ukb-b-10289" 0 0 0 0 0 0
"ukb-b-3540" 0 0 4 0 0 0
"ukb-b-13920" 0 0 0 0 0 0
"ukb-b-4286" 1 0 0 0 0 0
"ukb-b-20190" 0 0 0 0 0 0
"ukb-b-19829" 2 0 0 0 0 0
"ukb-b-17043" 0 0 0 0 0 0
"ukb-b-14560" 0 0 0 0 0 0
"ukb-b-11349" 1 0 0 0 0 0
"ukb-b-1675" 0 1 0 0 0 0
"ukb-b-18096" 427 1119 1086 138 138 0
"ukb-b-14757" 0 0 1 0 0 0
"ukb-b-16201" 0 0 0 0 0 0
"ukb-b-20296" 104 412 354 48 41 7
"ukb-b-19779" 1 0 0 0 0 0
"ukb-b-19255" 0 0 0 0 0 0
"ukb-b-6066" 41 38 38 7 9 -2
"ukb-b-17859" 0 0 0 0 0 0
"ukb-b-10712" 1 0 0 0 0 0
"ukb-b-8278" 0 0 0 0 0 0
"ukb-b-8172" 0 0 0 0 0 0
"ukb-b-15272" 2 0 1 0 1 -1
"ukb-b-6824" 0 0 0 0 0 0
"ukb-b-17223" 0 0 0 0 0 0
"ukb-b-10298" 0 0 0 0 0 0
"ukb-b-19073" 1 0 0 0 0 0
"ukb-b-19262" 0 0 0 0 0 0
"ukb-b-7663" 6 17 0 1 0 1
"ukb-b-10145" 0 0 0 0 0 0
"ukb-b-1004" 3 0 0 0 0 0
"ukb-b-16818" 1 0 0 0 0 0
"ukb-b-1822" 0 0 0 0 0 0
"ukb-b-9056" 0 0 0 0 0 0
"ukb-b-12938" 0 0 0 0 0 0
"ukb-b-17836" 9 39 21 3 2 1
"ukb-b-17671" 0 0 0 0 0 0
"ukb-b-13673" 0 0 0 0 0 0
"ukb-b-197" 0 0 0 0 0 0
"ukb-b-2895" 0 0 0 0 0 0
"ukb-b-7237" 0 0 0 0 0 0
"ukb-b-17079" 0 0 0 0 0 0
"ukb-b-5316" 0 0 0 0 0 0
"ukb-b-1867" 2 0 0 0 0 0
"ukb-b-3881" 55 50 82 10 12 -2
"ukb-b-10769" 0 0 0 0 0 0
"ukb-b-11052" 1 2 5 0 1 -1
"ukb-b-12722" 4 6 2 3 0 3
"ukb-b-9971" 17 84 90 9 10 -1
"ukb-b-8755" 14 36 47 3 4 -1
"ukb-b-11282" 0 0 0 0 0 0
"ukb-b-1302" 0 0 0 0 0 0
"ukb-b-16061" 0 0 0 0 0 0
"ukb-b-17130" 0 0 0 0 0 0
"ukb-b-11588" 0 0 0 0 0 0
"ukb-b-15430" 0 0 0 0 0 0
"ukb-b-13883" 0 0 0 0 0 0
"ukb-b-17627" 11 29 10 5 0 5
"ukb-b-3145" 2 0 0 0 0 0
"ukb-b-12812" 0 0 0 0 0 0
"ukb-b-4876" 0 0 0 0 0 0
"ukb-b-18395" 0 0 0 0 0 0
"ukb-b-5188" 0 0 0 0 0 0
"ukb-b-9694" 0 0 0 0 0 0
"ukb-b-1996" 22 13 25 3 2 1
"ukb-b-7596" 0 0 0 0 0 0
"ukb-b-16217" 3 7 8 1 2 -1
"ukb-b-7582" 0 0 0 0 0 0
"ukb-b-13994" 0 0 0 0 0 0
"ukb-b-1046" 0 0 0 0 0 0
"ukb-b-1600" 0 0 0 0 0 0
"ukb-b-9547" 0 0 0 0 0 0
"ukb-b-7793" 0 0 0 0 0 0
"ukb-b-13584" 13 32 24 8 3 5
"ukb-b-12831" 1 0 0 0 0 0
"ukb-b-12181" 48 76 76 10 12 -2
"ukb-b-13932" 5 1 0 1 0 1
"ukb-b-328" 3 0 0 0 0 0
"ukb-b-13841" 1 0 0 0 0 0
"ukb-b-8637" 0 0 0 0 0 0
"ukb-b-4170" 0 0 0 0 0 0
"ukb-b-15918" 5 11 6 1 1 0
"ukb-b-14649" 2 0 0 0 0 0
"ukb-b-20437" 1 0 0 0 0 0
"ukb-b-9685" 573 2325 2340 274 272 2
"ukb-b-6569" 0 0 0 0 0 0
"ukb-b-15661" 0 0 0 0 0 0
"ukb-b-12561" 0 0 0 0 0 0
"ukb-b-2535" 4 0 0 0 0 0
"ukb-b-15895" 16 20 19 7 6 1
"ukb-b-9386" 0 0 0 0 0 0
"ukb-b-4081" 0 0 0 0 0 0
"ukb-b-3586" 0 0 0 0 0 0
"ukb-b-8088" 0 0 0 0 0 0
"ukb-b-905" 0 0 0 0 0 0
"ukb-b-5369" 14 29 18 4 3 1
"ukb-b-3467" 0 0 0 0 0 0
"ukb-b-12040" 10 31 28 5 5 0
"ukb-b-10847" 0 0 0 0 0 0
"ukb-b-6951" 2 34 6 2 1 1
"ukb-b-18240" 4 0 0 0 0 0
"ukb-b-9991" 0 0 0 0 0 0
"ukb-b-20415" 0 0 0 0 0 0
"ukb-b-19716" 0 0 0 0 0 0
"ukb-b-12556" 0 0 0 0 0 0
"ukb-b-12282" 0 0 0 0 0 0
"ukb-b-16345" 0 0 0 0 0 0
"ukb-b-8006" 8 1 0 0 0 0
"ukb-b-4566" 0 0 0 0 0 0
"ukb-b-10810" 7 8 4 4 2 2
"ukb-b-18377" 383 589 833 82 107 -25
"ukb-b-956" 0 0 0 0 0 0
"ukb-b-19950" 6 0 1 0 1 -1
"ukb-b-3469" 1 18 0 1 0 1
"ukb-b-14782" 6 1 0 1 0 1
"ukb-b-4141" 11 9 18 3 6 -3
"ukb-b-7085" 1 0 0 0 0 0
"ukb-b-9039" 0 0 0 0 0 0
"ukb-b-20292" 27 77 90 6 5 1
"ukb-b-12623" 0 0 0 0 0 0
"ukb-b-18279" 0 0 0 0 0 0
"ukb-b-12854" 394 906 936 126 121 5
"ukb-b-19585" 6 2 0 1 0 1
"ukb-b-2083" 0 0 0 0 0 0
"ukb-b-18095" 0 0 0 0 0 0
"ukb-b-8221" 1 0 0 0 0 0
"ukb-b-14157" 0 0 0 0 0 0
"ukb-b-10325" 0 0 0 0 0 0
"ukb-b-3255" 0 0 0 0 0 0
"ukb-b-7420" 1 0 0 0 0 0
"ukb-b-5239" 19 6 16 3 4 -1
"ukb-b-20178" 1 0 0 0 0 0
"ukb-b-15606" 0 0 0 0 0 0
"ukb-b-11480" 109 153 148 45 41 4
"ukb-b-11247" 3 40 12 2 2 0
"ukb-b-14885" 0 0 0 0 0 0
"ukb-b-2772" 77 53 30 12 12 0
"ukb-b-15338" 0 0 0 0 0 0
"ukb-b-20542" 0 0 0 0 0 0
"ukb-b-10144" 0 0 0 0 0 0
"ukb-b-18758" 0 0 0 0 0 0
"ukb-b-8147" 14 47 14 4 2 2
"ukb-b-8842" 0 0 0 0 0 0
"ukb-b-11272" 0 0 0 0 0 0
"ukb-b-11447" 0 0 0 0 0 0
"ukb-b-13080" 0 0 0 0 0 0
"ukb-b-19837" 0 0 0 0 0 0
"ukb-b-5811" 0 0 0 0 0 0
"ukb-b-7428" 0 0 0 0 0 0
"ukb-b-4963" 0 0 0 0 0 0
"ukb-b-15832" 0 0 0 0 0 0
"ukb-b-17032" 0 0 0 0 0 0
"ukb-b-15096" 10 1 6 1 1 0
"ukb-b-1310" 1 0 0 0 0 0
"ukb-b-5666" 9 11 11 3 2 1
"ukb-b-11567" 0 0 0 0 0 0
"ukb-b-9509" 0 0 0 0 0 0
"ukb-b-10001" 0 0 0 0 0 0
"ukb-b-19806" 0 0 0 0 0 0
"ukb-b-13416" 193 288 286 73 73 0
"ukb-b-10827" 8 2 8 1 3 -2
"ukb-b-20118" 1 0 2 0 1 -1
"ukb-b-5855" 1 0 0 0 0 0
"ukb-b-8107" 0 0 0 0 0 0
"ukb-b-11632" 12 24 12 5 1 4
"ukb-b-13535" 1 0 0 0 0 0
"ukb-b-18275" 35 6 12 5 5 0
"ukb-b-12036" 0 0 0 0 0 0
"ukb-b-11189" 3 48 36 2 2 0
"ukb-b-7408" 48 71 110 6 8 -2
"ukb-b-1061" 11 7 12 2 3 -1
"ukb-b-18819" 0 0 0 0 0 0
"ukb-b-20349" 0 0 0 0 0 0
"ukb-b-11048" 0 0 0 0 0 0
"ukb-b-12984" 0 0 0 0 0 0
"ukb-b-7280" 0 0 0 0 0 0
"ukb-b-16292" 0 0 0 0 0 0
"ukb-b-8800" 1 0 0 0 0 0
"ukb-b-20176" 1 11 1 1 0 1
"ukb-b-4630" 116 195 187 11 17 -6
"ukb-b-10694" 5 130 119 4 4 0
"ukb-b-16170" 0 0 0 0 0 0
"ukb-b-17133" 0 0 0 0 0 0
"ukb-b-4964" 0 0 0 0 0 0
"ukb-b-19390" 0 0 0 0 0 0
"ukb-b-17538" 0 0 0 0 0 0
"ukb-b-4569" 0 0 0 0 0 0
"ukb-b-10202" 0 0 0 0 0 0
"ukb-b-15780" 0 0 0 0 0 0
"ukb-b-10368" 0 0 0 0 0 0
"ukb-b-4423" 0 0 0 0 0 0
"ukb-b-20023" 0 0 0 0 0 0
"ukb-b-5863" 0 0 0 0 0 0
"ukb-b-8837" 17 13 44 5 10 -5
"ukb-b-7278" 11 28 20 4 3 1
"ukb-b-3388" 2 0 0 0 0 0
"ukb-b-3502" 2 0 0 0 0 0
"ukb-b-14149" 0 0 0 0 0 0
"ukb-b-11465" 1 0 0 0 0 0
"ukb-b-1579" 0 0 0 0 0 0
"ukb-b-8909" 395 947 962 122 122 0
"ukb-b-17309" 0 0 0 0 0 0
"ukb-b-16062" 0 0 0 0 0 0
"ukb-b-16847" 0 0 0 0 0 0
"ukb-b-419" 0 0 0 0 0 0
"ukb-b-11409" 0 0 0 0 0 0
"ukb-b-16150" 2 1 0 1 0 1
"ukb-b-3530" 0 0 0 0 0 0
"ukb-b-1765" 7 12 7 3 2 1
"ukb-b-4733" 21 12 8 2 3 -1
"ukb-b-12472" 0 0 0 0 0 0
"ukb-b-8746" 28 43 41 7 6 1
"ukb-b-16944" 0 0 0 0 0 0
"ukb-b-17685" 16 13 2 4 2 2
"ukb-b-8676" 0 0 0 0 0 0
"ukb-b-10477" 0 0 0 0 0 0
"ukb-b-16019" 3 15 17 1 1 0
"ukb-b-10537" 20 143 170 6 8 -2
"ukb-b-12165" 0 0 0 0 0 0
"ukb-b-14371" 8 34 33 2 2 0
"ukb-b-13845" 0 0 0 0 0 0
"ukb-b-6248" 0 0 0 0 0 0
"ukb-b-18189" 5 1 0 1 0 1
"ukb-b-19156" 0 0 0 0 0 0
"ukb-b-10646" 0 0 0 0 0 0
"ukb-b-20189" 0 0 0 0 0 0
"ukb-b-1220" 0 0 0 0 0 0
"ukb-b-17788" 4 0 0 0 0 0
"ukb-b-19158" 0 0 0 0 0 0
"ukb-b-18785" 0 0 0 0 0 0
"ukb-b-12836" 1 0 0 0 0 0
"ukb-b-4561" 0 0 0 0 0 0
"ukb-b-13616" 1 0 0 0 0 0
"ukb-b-12948" 63 161 188 20 26 -6
"ukb-b-337" 0 0 0 0 0 0
"ukb-b-3000" 0 0 0 0 0 0
