"phen" "total" "sign_disc" "sign_repl" "sign_disc_top" "sign_repl_top" "weak_instr"
"ukb-b-20239" 1 0 0 0 0 0
"ukb-b-13664" 6 19 9 2 2 0
"ukb-b-6614" 0 0 0 0 0 0
"ukb-b-12872" 0 0 0 0 0 0
"ukb-b-11878" 0 0 0 0 0 0
"ukb-b-18105" 12 10 16 4 7 -3
"ukb-b-16369" 1 0 0 0 0 0
"ukb-b-6652" 0 0 0 0 0 0
"ukb-b-969" 47 79 36 7 4 3
"ukb-b-7288" 4 0 4 0 1 -1
"ukb-b-9130" 38 11 10 3 3 0
"ukb-b-14664" 208 295 281 73 68 5
"ukb-b-4601" 0 0 0 0 0 0
"ukb-b-6906" 0 0 0 0 0 0
"ukb-b-13516" 18 1 5 1 5 -4
"ukb-b-14713" 296 757 716 102 99 3
"ukb-b-7992" 263 497 495 81 86 -5
"ukb-b-16882" 0 0 0 0 0 0
"ukb-b-5693" 0 0 0 0 0 0
"ukb-b-16636" 0 0 0 0 0 0
"ukb-b-2338" 0 0 0 0 0 0
"ukb-b-8621" 0 0 0 0 0 0
"ukb-b-6873" 0 0 0 0 0 0
"ukb-b-15326" 0 0 0 0 0 0
"ukb-b-12209" 5 89 99 3 4 -1
"ukb-b-16399" 5 0 0 0 0 0
"ukb-b-2618" 5 2 0 1 0 1
"ukb-b-20185" 0 0 0 0 0 0
"ukb-b-15924" 0 0 0 0 0 0
"ukb-b-8882" 1 0 0 0 0 0
"ukb-b-11297" 26 109 85 11 10 1
"ukb-b-531" 0 0 0 0 0 0
"ukb-b-8648" 1 0 0 0 0 0
"ukb-b-10821" 0 0 0 0 0 0
"ukb-b-19462" 1 31 1 1 0 1
"ukb-b-18202" 3 0 0 0 0 0
"ukb-b-4184" 0 0 0 0 0 0
"ukb-b-4711" 57 67 64 9 8 1
"ukb-b-16522" 2 0 0 0 0 0
"ukb-b-6218" 4 0 0 0 0 0
"ukb-b-11532" 0 0 0 0 0 0
"ukb-b-19473" 3 3 6 1 1 0
"ukb-b-10591" 7 0 0 0 0 0
"ukb-b-2285" 0 0 0 0 0 0
"ukb-b-2830" 2 0 0 0 0 0
"ukb-b-2237" 0 0 0 0 0 0
"ukb-b-3713" 1 0 0 0 0 0
"ukb-b-288" 4 47 50 4 2 2
"ukb-b-4257" 0 0 0 0 0 0
"ukb-b-15363" 0 0 0 0 0 0
"ukb-b-8161" 0 0 0 0 0 0
"ukb-b-3969" 0 0 0 0 0 0
"ukb-b-10272" 2 7 8 1 1 0
"ukb-b-17616" 5 0 5 0 1 -1
"ukb-b-7436" 7 41 37 2 2 0
"ukb-b-9513" 0 0 0 0 0 0
"ukb-b-14206" 1 25 4 1 0 1
"ukb-b-8072" 3 0 0 0 0 0
"ukb-b-132" 0 0 0 0 0 0
"ukb-b-5946" 0 0 0 0 0 0
"ukb-b-7073" 0 0 0 0 0 0
"ukb-b-18127" 1 0 0 0 0 0
"ukb-b-10097" 0 0 0 0 0 0
"ukb-b-11045" 0 0 0 0 0 0
"ukb-b-20019" 1 0 0 0 0 0
"ukb-b-6666" 1 3 0 0 0 0
"ukb-b-14944" 18 10 5 3 2 1
"ukb-b-15932" 19 26 26 9 9 0
"ukb-b-8846" 5 0 0 0 0 0
"ukb-b-4439" 2 0 0 0 0 0
"ukb-b-14203" 71 84 116 13 19 -6
"ukb-b-11768" 0 0 0 0 0 0
"ukb-b-13378" 143 184 142 47 38 9
"ukb-b-4106" 0 0 0 0 0 0
"ukb-b-11866" 0 0 0 0 0 0
"ukb-b-19931" 0 0 0 0 0 0
"ukb-b-17633" 0 0 0 0 0 0
"ukb-b-12863" 0 0 0 0 0 0
"ukb-b-18176" 1 1 0 1 0 1
"ukb-b-15760" 0 0 1 0 0 0
"ukb-b-5332" 2 0 0 0 0 0
"ukb-b-19634" 0 0 0 0 0 0
"ukb-b-1977" 1 0 0 0 0 0
"ukb-b-17775" 0 0 0 0 0 0
"ukb-b-1852" 4 1 0 1 0 1
"ukb-b-19852" 2 0 0 0 0 0
"ukb-b-9856" 0 0 0 0 0 0
"ukb-b-18425" 0 0 0 0 0 0
"ukb-b-18915" 0 0 0 0 0 0
"ukb-b-2094" 1 0 8 0 1 -1
"ukb-b-677" 1 0 0 0 0 0
"ukb-b-19719" 0 0 0 0 0 0
"ukb-b-5079" 0 0 0 0 0 0
"ukb-b-12301" 5 29 0 1 0 1
"ukb-b-8778" 3 4 0 1 0 1
"ukb-b-6998" 0 0 0 0 0 0
"ukb-b-16576" 43 56 58 7 10 -3
"ukb-b-1138" 3 0 1 0 1 -1
"ukb-b-14303" 0 0 0 0 0 0
"ukb-b-4921" 1 3 0 0 0 0
"ukb-b-133" 0 0 0 0 0 0
"ukb-b-10054" 0 0 0 0 0 0
"ukb-b-8241" 3 10 23 1 1 0
"ukb-b-4070" 0 0 0 0 0 0
"ukb-b-1795" 1 0 0 0 0 0
"ukb-b-3686" 0 0 0 0 0 0
"ukb-b-7414" 0 0 0 0 0 0
"ukb-b-13864" 0 0 0 0 0 0
"ukb-b-488" 0 0 0 0 0 0
"ukb-b-6373" 2 1 0 1 0 1
"ukb-b-16452" 0 0 0 0 0 0
"ukb-b-8865" 3 1 0 1 0 1
"ukb-b-4868" 0 0 0 0 0 0
"ukb-b-12433" 2 0 0 0 0 0
"ukb-b-11542" 0 0 0 0 0 0
"ukb-b-2218" 0 0 0 0 0 0
"ukb-b-9708" 0 1 0 0 0 0
"ukb-b-9508" 3 0 0 0 0 0
"ukb-b-19862" 0 0 0 0 0 0
"ukb-b-1350" 0 0 0 0 0 0
"ukb-b-16721" 0 0 0 0 0 0
"ukb-b-6562" 0 0 0 0 0 0
"ukb-b-18822" 0 0 0 0 0 0
"ukb-b-16662" 3 35 25 2 1 1
"ukb-b-12777" 1 0 0 0 0 0
"ukb-b-18532" 0 0 0 0 0 0
"ukb-b-13639" 0 0 0 0 0 0
"ukb-b-9333" 0 0 0 0 0 0
"ukb-b-3095" 0 0 0 0 0 0
"ukb-b-16585" 1 1 0 1 0 1
"ukb-b-3355" 0 0 0 0 0 0
"ukb-b-4820" 0 0 0 0 0 0
"ukb-b-3018" 1 0 0 0 0 0
"ukb-b-2669" 0 0 0 0 0 0
"ukb-b-11765" 0 0 0 0 0 0
"ukb-b-8668" 4 0 4 0 1 -1
"ukb-b-6400" 0 0 0 0 0 0
"ukb-b-2875" 0 0 0 0 0 0
"ukb-b-13151" 0 0 0 0 0 0
"ukb-b-16482" 0 0 0 0 0 0
"ukb-b-845" 210 522 502 88 91 -3
"ukb-b-14425" 0 0 0 0 0 0
"ukb-b-2002" 25 80 36 3 2 1
"ukb-b-20379" 44 20 60 6 10 -4
"ukb-b-11697" 0 0 0 0 0 0
"ukb-b-19166" 1 0 0 0 0 0
"ukb-b-20078" 0 0 0 0 0 0
"ukb-b-18099" 21 14 3 2 1 1
"ukb-b-8476" 16 1 1 1 1 0
"ukb-b-14576" 2 1 0 1 0 1
"ukb-b-235" 0 0 0 0 0 0
"ukb-b-19409" 0 0 0 0 0 0
"ukb-b-14145" 0 0 0 0 0 0
"ukb-b-10382" 1 1 0 1 0 1
"ukb-b-11285" 0 0 0 0 0 0
"ukb-b-11182" 7 15 17 2 2 0
"ukb-b-11563" 2 0 0 0 0 0
"ukb-b-533" 151 13646 13547 123 123 0
"ukb-b-4655" 8 0 0 0 0 0
"ukb-b-14654" 0 0 0 0 0 0
"ukb-b-19393" 435 1150 1187 137 150 -13
"ukb-b-8205" 0 0 0 0 0 0
"ukb-b-6251" 0 0 0 0 0 0
"ukb-b-15797" 1 17 0 1 0 1
"ukb-b-6608" 1 0 0 0 0 0
"ukb-b-6223" 1 0 0 0 0 0
"ukb-b-15528" 2 0 0 0 0 0
"ukb-b-15601" 0 0 0 0 0 0
"ukb-b-10829" 0 0 0 0 0 0
"ukb-b-3389" 0 0 0 0 0 0
"ukb-b-8105" 1 0 0 0 0 0
"ukb-b-13683" 0 0 0 0 0 0
"ukb-b-309" 0 0 0 0 0 0
"ukb-b-4740" 0 0 0 0 0 0
"ukb-b-7503" 0 0 0 0 0 0
"ukb-b-9960" 0 0 0 0 0 0
"ukb-b-7299" 1 0 0 0 0 0
"ukb-b-14961" 8 19 11 3 1 2
